Video_ID,Channel_ID,Video_Title,Published_At,Thumbnails,Comments,Likes,Views,Duration,Start_Time,End_Time,Scheduled_Time,Topic_Category
InniOcnmSrw,UCaIrY40rwEf51POKMybW-Eg,Câu Like Làm Chi...Linh Đã Live 30 Buổi Lúc Nào Không Hay | NIKA LAN LINH,2023-07-03T18:49:30Z,https://i.ytimg.com/vi/InniOcnmSrw/default.jpg,1,261,1647,PT2H44M17S,2023-07-03T15:51:37Z,2023-07-03T18:35:53Z,2023-07-03T15:51:24Z,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']"
G-7q4iEKmpM,UCaIrY40rwEf51POKMybW-Eg,Ai Là Kani Fake Hôm Nay Sẽ Biết... Tế Đến CHÍT | NIKA LAN LINH,2023-07-02T18:36:39Z,https://i.ytimg.com/vi/G-7q4iEKmpM/default.jpg,7,194,1455,PT2H18M17S,2023-07-02T16:10:07Z,2023-07-02T18:28:20Z,2023-07-02T16:09:55Z,[]
hY_W1NDy8GE,UCaIrY40rwEf51POKMybW-Eg,Thầy Bói Miền Tây Tái Xuất | NIKA LAN LINH,2023-06-30T03:29:46Z,https://i.ytimg.com/vi/hY_W1NDy8GE/default.jpg,1,100,544,PT26M40S,2023-06-29T15:00:14Z,2023-06-29T15:26:50Z,2023-06-29T15:00:06Z,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film', 'https://en.wikipedia.org/wiki/Puzzle_video_game']"
Pv_vYjhMgPA,UCaIrY40rwEf51POKMybW-Eg,Thầy Bói Miền Tây Tái Xuất | NIKA LAN LINH,2023-06-29T22:04:06Z,https://i.ytimg.com/vi/Pv_vYjhMgPA/default.jpg,6,199,1556,PT6H8M25S,2023-06-29T15:28:58Z,2023-06-29T21:37:42Z,2023-06-29T15:28:48Z,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)']
RyCJ5CmZVX8,UCaIrY40rwEf51POKMybW-Eg,Một Khi Nôi Nhớ Anh Biến Thành Dải Ngân Hà Thì Anh Biết Chạy Đi Đâu.. | Nika Lan Linh .,2023-06-27T07:27:06Z,https://i.ytimg.com/vi/RyCJ5CmZVX8/default.jpg,41,324,2646,PT15S,,,,['https://en.wikipedia.org/wiki/Music']
gGaSoqSlrsQ,UCaIrY40rwEf51POKMybW-Eg,Con Mã Con Ma Con Ma Đêm Khuya... | TRUYỆN MA LÚC 12 GIỜ | NIKA LAN LINH,2023-06-27T05:19:40Z,https://i.ytimg.com/vi/gGaSoqSlrsQ/default.jpg,6,122,795,PT24M7S,2023-06-26T16:53:52Z,2023-06-26T17:17:48Z,2023-06-26T16:53:34Z,"['https://en.wikipedia.org/wiki/Casual_game', 'https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']"
qa52cI6pnno,UCaIrY40rwEf51POKMybW-Eg,Con Mã Con Ma Con Ma Đêm Khuya... | TRUYỆN MA LÚC 12 GIỜ | NIKA LAN LINH,2023-06-26T21:11:57Z,https://i.ytimg.com/vi/qa52cI6pnno/default.jpg,5,152,1228,PT3H40M14S,2023-06-26T17:20:44Z,2023-06-26T21:00:54Z,2023-06-26T17:20:26Z,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']"
ZJQQ9E0D7rA,UCaIrY40rwEf51POKMybW-Eg,Liệu kịch bản Drama sẽ đi đến đâu? đã kết thúc hay vẫn còn tiếp? | NIKA LAN LINH,2023-06-18T18:07:42Z,https://i.ytimg.com/vi/ZJQQ9E0D7rA/default.jpg,4,268,2487,PT5H20M36S,2023-06-18T12:15:13Z,2023-06-18T17:35:46Z,2023-06-18T12:15:07Z,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']"
IHHs6J6G-j0,UCaIrY40rwEf51POKMybW-Eg,Đem Fanart của mấy người ra soi rồi đem bán coi được nhiêu tiền | NIKA LAN LINH,2023-06-18T02:37:59Z,https://i.ytimg.com/vi/IHHs6J6G-j0/default.jpg,4,193,1306,PT1H42M20S,2023-06-17T12:49:25Z,2023-06-17T14:31:39Z,2023-06-17T12:49:15Z,[]
58dI20TPDIE,UCaIrY40rwEf51POKMybW-Eg,Một Khi Nỗi Nhớ Em Biến Thành Dải Ngân Hà...  | NIKA LAN LINH,2023-06-15T14:53:14Z,https://i.ytimg.com/vi/58dI20TPDIE/default.jpg,4,206,1437,PT2H10M9S,2023-06-15T12:05:37Z,2023-06-15T14:15:46Z,2023-06-15T12:05:28Z,[]
28GAWNzD7r0,UCaIrY40rwEf51POKMybW-Eg,Năm 90 Mấy Linh Là Diễn Viên Đóng TV Nổi Tiếng | ROLEPLAY | NIKA LAN LINH,2023-06-11T15:44:43Z,https://i.ytimg.com/vi/28GAWNzD7r0/default.jpg,7,220,1579,PT2H39M34S,2023-06-11T12:28:31Z,2023-06-11T15:08:08Z,2023-06-11T12:28:17Z,"['https://en.wikipedia.org/wiki/Entertainment', 'https://en.wikipedia.org/wiki/Film']"
8c7yiTjerdg,UCaIrY40rwEf51POKMybW-Eg,Mở quán ăn của mèo cực chill và dễ thương | Cat Snack Bar | NIKA LAN LINH,2023-06-08T15:02:13Z,https://i.ytimg.com/vi/8c7yiTjerdg/default.jpg,5,203,1640,PT2H16M58S,2023-06-08T12:33:28Z,2023-06-08T14:50:24Z,2023-06-08T12:33:15Z,['https://en.wikipedia.org/wiki/Lifestyle_(sociology)']
Ujsefb-4n_U,UCaIrY40rwEf51POKMybW-Eg,Stream Sinh Nhật   | NIKA LAN LINH | NIKA LINH LAN,2023-06-07T16:43:40Z,https://i.ytimg.com/vi/Ujsefb-4n_U/default.jpg,6,389,3213,PT3H5M16S,2023-06-07T13:15:36Z,2023-06-07T16:20:52Z,2023-06-07T13:15:24Z,"['https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']"
f7DZ6t2l7no,UCaIrY40rwEf51POKMybW-Eg,Diễn Viên Làng Lá Xuất Hiện Lại trong Tối Đêm Nay | ROLEPLAY | NIKA LAN LINH,2023-06-04T15:08:50Z,https://i.ytimg.com/vi/f7DZ6t2l7no/default.jpg,8,237,1594,PT2H52M29S,2023-06-04T11:59:40Z,2023-06-04T14:52:08Z,2023-06-04T11:59:26Z,[]
WUNdGBL_9iM,UCaIrY40rwEf51POKMybW-Eg,Là Cua Là Cua.. Linh là cua hay cua là cua cua la cua hay cua là cua | Grab Champion | NIKA LAN LINH,2023-06-03T15:03:31Z,https://i.ytimg.com/vi/WUNdGBL_9iM/default.jpg,8,198,1148,PT2H23M45S,2023-06-03T12:22:49Z,2023-06-03T14:46:30Z,2023-06-03T12:22:38Z,"['https://en.wikipedia.org/wiki/Action-adventure_game', 'https://en.wikipedia.org/wiki/Action_game', 'https://en.wikipedia.org/wiki/Role-playing_video_game', 'https://en.wikipedia.org/wiki/Video_game_culture']"
